-0.083 315.6049
4.990 311.3831
9.982 311.7476
14.974 312.3511
19.967 313.1736
24.961 314.1917
29.956 315.3798
34.952 316.7097
39.951 314.7979
44.948 316.3264
49.946 317.9545
54.944 319.6688
59.942 321.4574
64.941 323.3018
69.941 325.1748
74.942 327.0384
79.943 328.8417
84.946 330.5170
89.948 331.9447
94.962 332.2417
99.971 333.7056
105.139 325.1238
110.136 315.6725
115.122 313.0970
120.102 310.8450
125.082 308.9956
130.063 307.5420
135.064 304.8900
140.040 303.6783
145.017 303.0547
149.995 302.9784
154.978 302.4888
159.956 303.4793
164.935 302.1531
169.910 304.0842
174.884 306.7142
179.878 309.8521
184.970 307.0240
189.994 306.4312
194.974 307.4336
199.952 308.9837
204.934 311.0536
209.964 308.0683
214.935 309.4777
219.909 311.4417
224.889 313.6712
229.900 316.0670
234.992 314.6933
239.983 315.2454
244.977 315.9867
249.957 315.9580
255.019 313.0051
260.005 313.8452
264.992 315.2365
269.982 316.8940
274.970 318.9578
279.960 321.3324
284.952 323.9286
289.947 326.6733
294.943 329.5080
299.940 332.3823
304.939 335.2500
309.938 338.0658
314.937 340.8095
319.937 343.5608
324.935 345.9331
329.936 348.8730
334.937 352.2534
339.938 356.1408
344.941 360.5511
349.946 365.4459
